,摄影师,标题,简介,相机,镜头,照片数据,流量,赞数,评论数,光圈,ISO,快门速度,快门速度(毫秒)
0,开心叶,三月七号拍于成都漫花庄园，从家里开车去近三小时，到庄园已经快中午了，樱花也谢来差不多了，用eors加70200拍了点作品,“遇见春天”摄影小赛人像花卉少女女孩赏花摄影花,,,"f/2.8, 1/640s, ISO400",791.0,17.0,0.0,2.8,400,1/640s,1.5625
1,一个人的-旅行,有句话，说得好，会拍照的人，处处是风景，这是在白云山拍的，白云山在很多人眼里是一个散步放松的地方，可是我跟我朋友，却拍了一些很满意的照片，趁着疫期，在家处理了下，给你们欣赏下，有机会可以一起学习摄影。摄影师:旅行，模特:珍，设备:富士xt3。,人色彩白云山小清新广州旅行风光女孩抓拍服装美女人像户外胶片我们都爱日系摄影分享神仙颜值火烛一花精品摄影广州摄影圈高颜值女神聚集地人像爱好者每人推荐一个旅行目的地广州约拍圈子图虫旅行摄影圈子富士Fujifilm圈子,FUJIFILM X-T3,,"f/1.4, 1/1400s, ISO160",1273.0,31.0,4.0,1.4,160,1/1400s,0.7142857142857143
2,晟晟photo,,拍女友才是正经事风光人像性感的模型连衣裙漂亮的肖像女孩时尚服装,Canon EOS 5D Mark IV,Canon EF 50mm f/1.4 USM,"f/4.0, 1/45s, ISO1037",657.0,17.0,2.0,4.0,1037,1/45s,22.22222222222222
3,林朵大王,,2020适马睛典“遇见春天”摄影小赛初夏将至少女人像汉服复古风光古风胶片色彩睛典人像组我要上开屏高颜值女神聚集地春天的歌糖水人像小组分享神仙颜值趣味话题：唯美如你暖色调人像初恋的颜色是粉色,Canon EOS 5D Mark III,Canon EF 50mm f/1.4 USM,"f/2.5, 1/500s, ISO100",3338.0,88.0,5.0,2.5,100,1/500s,2.0
5,熊猫-Yao,世间的所有好运，都只依附足够强大的人。在任何时候，你都需要变得优秀。现在的付出，将来的幸福，那些转错的弯、流下的泪，都会让你成为独一无二的自己！,2020新影像大赛美丽中国，我是行动者人像女孩少女美女洛丽塔花嫁lolita2020新影像大赛——众生相,SONY ILCE-7RM3,FE 85mm F1.4 GM,"f/1.4, 1/1250s, ISO100",873.0,20.0,0.0,1.4,100,1/1250s,0.8
7,Toeyo,"阳光☀️不等人
樱花🌸有限期
仙女🧚‍♀️我来拍",“遇见春天”摄影小赛人像旅行肖像女孩樱花春天阳光时尚可爱,Canon EOS 5D Mark IV,Canon EF 135mm f/2L USM,"f/3.2, 1/640s, ISO100",1016.0,20.0,0.0,3.2,100,1/640s,1.5625
9,ttiiaannn-,第一篇～,拍女友才是正经事分享决定性瞬间对短发姑娘没有任何抵抗力！我们都是城市探险家分享神仙颜值肖像表情女人领带服装人像女孩时尚人色彩,Canon EOS 6D,SIGMA 50mm f/1.5 FF High-Speed Prime | 017,"f/1.4, 1/2500s, ISO160",1579.0,37.0,2.0,1.4,160,1/2500s,0.4
11,MIK米克,樱花之恋,“遇见春天”摄影小赛「照相机不要停」我的“私摄影”日系人像樱花清纯糖水少女写真约拍,SONY ILCE-7RM3,SIGMA 50mm F1.4 DG HSM | Art 018,"f/1.4, 1/1250s, ISO100",13436.0,301.0,19.0,1.4,100,1/1250s,0.8
12,梅_Mei,"【李凯馨Ⅹ锐Pioneer】

摄影：Mei

#叁念影像工作室#",人像漂亮的时尚年轻魅力可爱优雅女孩人工作室,Canon EOS 5D Mark III,Canon EF 24-70mm f/2.8L USM,"f/3.5, 1/200s, ISO200",18184.0,337.0,15.0,3.5,200,1/200s,5.0
16,余小妮_,小松菜奈本奈来啦！大家来说像不像！每张都超级喜欢啊！可盐可甜、高级感十足！【jk·日系·摄影·客片】,人像爱好者有温度的人像糖水人像小组人像写真摄影约拍高颜值女神聚集地我们都爱日系摄影JK日系青春人像时尚高级女孩胶片,,,"f/4.0, 1/800s, ISO6400",5651.0,123.0,5.0,4.0,6400,1/800s,1.25
